tag,name,income,treasury_balance,development,buildings,inflation,general_fire,general_shock,general_maneuver,general_siege,army_tradition,manpower_balance,force_strength,professionalism,admiral_fire,admiral_shock,admiral_maneuver,navy_tradition,ships,stability,adm_tech,dip_tech,mil_tech,ideas,corruption
SWE,Sweden,14.545000076293945,131.13099670410156,131.17300415039062,7,0.5630000233650208,2,3,5,2,32.025001525878906,18.704999923706055,16,0.05999999865889549,1,2,4,15.696000099182129,21,1,7,8,7,16,2.0969998836517334
DAN,Denmark,13.24799919128418,-45.505001068115234,147.61099243164062,7,1.312999963760376,4,3,3,0,24.214000701904297,22.812000274658203,1,0.05502000078558922,2,1,2,34.8489990234375,27,2,8,7,7,12,1.8619999885559082
NOR,Norway,6.110000133514404,-163.35899353027344,83.09300231933594,1,0.8759999871253967,0,1,4,0,18.767000198364258,16.447999954223633,7,0.04828000068664551,2,5,1,30.8799991607666,14,1,7,6,8,9,0
HUN,Hungary,30.533000946044922,131.4949951171875,325.4020080566406,14,1.3869999647140503,3,5,2,0,32.25299835205078,29.556001663208008,36.384002685546875,0.04004000127315521,0,1,2,9.706999778747559,17,1,8,8,7,10,2.055999994277954
TUR,Ottomans,44.3589973449707,-1246.56494140625,519.9619750976562,16,1.8320000171661377,3,1,5,1,34.058998107910156,47.46900177001953,40.68499755859375,0.13007000088691711,0,1,1,16.17799949645996,42,1,8,8,8,10,1.2050000429153442
ENG,England,39.46900177001953,199.10400390625,370.6579895019531,13,1.7350000143051147,1,5,5,3,38.262001037597656,26.931001663208008,34.56500244140625,0.010010000318288803,2,5,4,64.85600280761719,41,2,7,7,8,6,1.9520000219345093
LIT,Lithuania,31.262001037597656,-15.610992431640625,319.12200927734375,23,0.4000000059604645,4,3,1,0,25.354000091552734,13.005001068115234,30.29400062561035,0.10452000051736832,0,0,0,7.89300012588501,8,2,8,8,7,10,1.347000002861023
POL,Poland,38.887001037597656,143.52999877929688,389.0780029296875,22,1.0049999952316284,1,3,0,0,23.216999053955078,45.22200012207031,46,0.020020000636577606,0,0,0,5.85099983215332,17,1,7,8,7,9,1.2890000343322754
TEU,Teutonic Order,1.4210000038146973,64.74299621582031,6,0,0.3400000035762787,2,1,0,0,21.530000686645508,11.829999923706055,2,0.12050999701023102,0,0,0,1.4550000429153442,0,1,7,8,7,12,1.878000020980835
BUR,Burgundy,27.593002319335938,35.37699890136719,188,19,0.3880000114440918,0,0,0,0,30.231000900268555,20.23900032043457,18,0.01874000020325184,0,5,0,11.446999549865723,8,2,8,6,8,10,0.18700000643730164
FRA,France,78.40499877929688,532.3820190429688,664.39697265625,40,0,0,0,0,0,36.18199920654297,85.33399963378906,68,0,2,2,3,21.423999786376953,42,2,8,8,8,16,0.2840000092983246
BOH,Bohemia,22.676000595092773,26.45199966430664,198.4530029296875,16,0.7020000219345093,0,0,0,0,26.447999954223633,15.429999351501465,38.89699935913086,0.11999999731779099,0,0,0,0,0,1,8,7,7,12,0.9940000176429749
HAB,Austria,28.163000106811523,192.7729949951172,176.88699340820312,17,0.5490000247955322,2,2,1,0,26.593000411987305,59.054996490478516,40.45499801635742,0.020020000636577606,1,1,2,7.449999809265137,12,3,8,7,8,14,1.3930000066757202
PAL,The Palatinate,5.772000312805176,341.98199462890625,42.81800079345703,6,0,2,1,0,0,16.011999130249023,12.543999671936035,7.489999771118164,0.03002999909222126,0,0,0,0,0,1,7,8,7,9,2.0450000762939453
POM,Pomerania,5.812999725341797,27.334999084472656,52.91899871826172,16,2.2669999599456787,2,0,1,1,35.00299835205078,12.722000122070312,8,0.020020000636577606,2,2,3,6.291999816894531,11,1,7,8,7,6,2.361999988555908
SAX,Saxony,5.834000110626221,45.87099838256836,47.87300109863281,5,6.138999938964844,1,6,1,0,16.197999954223633,13.527999877929688,6,0.020020000636577606,0,0,0,0,0,1,7,7,7,9,2.2230000495910645
WBG,Wurzburg,3.2080001831054688,156.77099609375,21.91200065612793,4,1,0,0,0,0,5.193999767303467,11.666999816894531,5,0.010010000318288803,0,0,0,0,0,2,7,7,7,6,1.6920000314712524
ARA,Aragon,24.809999465942383,84.41999816894531,263.3349914550781,13,0.6499999761581421,2,2,0,0,35.749000549316406,40.72100067138672,32.927001953125,0.0800200030207634,2,2,0,14.734999656677246,30,2,8,8,8,13,1.5180000066757202
CAS,Castile,44.58700180053711,49.0359992980957,364.614013671875,18,1.9170000553131104,4,4,5,1,27.22100067138672,28.18000030517578,37.57500076293945,0.1200300008058548,1,3,4,63.54100036621094,36,1,7,7,8,16,2.2880001068115234
POR,Portugal,20.534000396728516,213.32000732421875,185.8090057373047,7,1.9240000247955322,3,5,5,2,23.78499984741211,18.381000518798828,20.654998779296875,0.0700099989771843,4,4,6,32.62699890136719,21,2,7,6,8,14,2.0490000247955322
GEN,Genoa,19.55099868774414,56.58000183105469,112.21399688720703,16,3.75,3,3,1,0,17.697999954223633,15.9399995803833,14,0.04323999956250191,0,3,2,18.156999588012695,27,2,7,8,7,9,1.8769999742507935
PAP,The Papal State,32.03900146484375,822.7680053710938,142.18099975585938,19,0.7440000176429749,0,3,0,1,26.003999710083008,18.12700080871582,20,0.0949999988079071,3,1,2,38.19200134277344,23,3,8,6,7,9,1.430999994277954
SAV,Savoy,12.89799976348877,353.03399658203125,127.48600006103516,8,0.718999981880188,2,0,2,1,28.743999481201172,18.322999954223633,11,0.0800200030207634,3,1,1,4.025000095367432,10,2,7,8,7,12,0.44200000166893005
VEN,Venice,48.86000061035156,542.2960205078125,259.77301025390625,35,1.2259999513626099,1,2,0,0,48.51100158691406,28.378000259399414,36,0.26862001419067383,4,2,2,17.783000946044922,54,1,8,8,8,10,1.5859999656677246
LAN,Florence,11.779000282287598,430.9729919433594,61.86800003051758,10,0.21299999952316284,0,0,0,0,21.121000289916992,9.104000091552734,10,0.1100199967622757,0,0,0,4.461999893188477,9,3,8,9,8,13,0.9039999842643738
HOL,Holland,13.934999465942383,456.8789978027344,43.768001556396484,9,0,2,1,5,0,44.23500061035156,12.777000427246094,9.598999977111816,0.12060999870300293,3,0,0,24.85300064086914,14,2,7,8,7,13,1.6399999856948853
MOS,Muscovy,48.64500045776367,-1362.6719970703125,621.7479858398438,28,5.750999927520752,2,1,5,3,42.21699905395508,22.602998733520508,52.308998107910156,0.020020000636577606,3,4,1,14.803999900817871,27,1,5,7,7,4,2.6619999408721924
SYR,Syria,20.573999404907227,340.2030029296875,152.77200317382812,16,0.6209999918937683,0,0,0,0,15.996999740600586,23.069000244140625,17,0.020020000636577606,1,0,4,7.456999778747559,21,1,8,8,8,12,1.3519999980926514
MAM,Mamluks,38.832000732421875,204.28700256347656,333.93499755859375,18,0.421999990940094,1,5,4,1,43.15399932861328,34.48400115966797,39,0.010010000318288803,1,1,0,8.343999862670898,27,2,8,8,8,12,0.12399999797344208
TUN,Tunis,10.731999397277832,-43.060001373291016,123.0790023803711,6,2.638000011444092,2,2,0,1,33.957000732421875,18.101999282836914,11,0.05502000078558922,1,1,3,18.413999557495117,20,1,6,7,8,6,0.925000011920929
