tag,name,year,value
ADA,Adal,1445,0
ARA,Aragon,1445,1
ASK,Ashikaga,1445,0
HAB,Austria,1445,0
AYU,Ayutthaya,1445,0
BOH,Bohemia,1445,0
BUR,Burgundy,1445,0
CAS,Castile,1445,1
DAN,Denmark,1445,0
ENG,England,1445,1
ETH,Ethiopia,1445,0
LAN,Florence,1445,0
FRA,France,1445,1
GEN,Genoa,1445,0
HOL,Holland,1445,0
HUN,Hungary,1445,0
LIT,Lithuania,1445,0
HSA,Lübeck,1445,0
MAM,Mamluks,1445,1
MNG,Ming,1445,2
MCM,Munster,1445,0
MOS,Muscovy,1445,0
NOR,Norway,1445,0
OIR,Oirat,1445,0
TUR,Ottomans,1445,1
POL,Poland,1445,0
POR,Portugal,1445,0
QAR,Qara Qoyunlu,1445,0
SAV,Savoy,1445,0
SAX,Saxony,1445,0
STE,Stettin,1445,0
SWE,Sweden,1445,0
SYR,Syria,1445,0
TEU,Teutonic Order,1445,0
PAL,The Palatinate,1445,0
PAP,The Papal State,1445,0
TIM,Timurids,1445,1
TUN,Tunis,1445,0
VEN,Venice,1445,0
VIJ,Vijayanagar,1445,0
WBG,Wurzburg,1445,0
ADA,Adal,1446,0
ARA,Aragon,1446,5
ASK,Ashikaga,1446,0
HAB,Austria,1446,0
AYU,Ayutthaya,1446,0
BOH,Bohemia,1446,0
BUR,Burgundy,1446,0
CAS,Castile,1446,4
DAN,Denmark,1446,0
ENG,England,1446,7
ETH,Ethiopia,1446,0
LAN,Florence,1446,0
FRA,France,1446,5
GEN,Genoa,1446,0
HOL,Holland,1446,0
HUN,Hungary,1446,0
LIT,Lithuania,1446,0
HSA,Lübeck,1446,0
MAM,Mamluks,1446,7
MNG,Ming,1446,9
MCM,Munster,1446,0
MOS,Muscovy,1446,0
NOR,Norway,1446,0
OIR,Oirat,1446,0
TUR,Ottomans,1446,6
POL,Poland,1446,0
POR,Portugal,1446,0
QAR,Qara Qoyunlu,1446,0
SAV,Savoy,1446,0
SAX,Saxony,1446,0
STE,Stettin,1446,0
SWE,Sweden,1446,0
SYR,Syria,1446,0
TEU,Teutonic Order,1446,0
PAL,The Palatinate,1446,0
PAP,The Papal State,1446,0
TIM,Timurids,1446,5
TUN,Tunis,1446,0
VEN,Venice,1446,0
VIJ,Vijayanagar,1446,0
WBG,Wurzburg,1446,0
ADA,Adal,1447,0
ARA,Aragon,1447,10
ASK,Ashikaga,1447,0
HAB,Austria,1447,0
AYU,Ayutthaya,1447,0
BOH,Bohemia,1447,0
BUR,Burgundy,1447,0
CAS,Castile,1447,8
DAN,Denmark,1447,0
ENG,England,1447,10
ETH,Ethiopia,1447,0
LAN,Florence,1447,0
FRA,France,1447,10
GEN,Genoa,1447,0
HOL,Holland,1447,0
HUN,Hungary,1447,0
LIT,Lithuania,1447,0
HSA,Lübeck,1447,0
MAM,Mamluks,1447,13
MNG,Ming,1447,17
MCM,Munster,1447,0
MOS,Muscovy,1447,0
NOR,Norway,1447,0
OIR,Oirat,1447,0
TUR,Ottomans,1447,10
POL,Poland,1447,1
POR,Portugal,1447,0
QAR,Qara Qoyunlu,1447,0
SAV,Savoy,1447,0
SAX,Saxony,1447,0
STE,Stettin,1447,0
SWE,Sweden,1447,0
SYR,Syria,1447,0
TEU,Teutonic Order,1447,0
PAL,The Palatinate,1447,0
PAP,The Papal State,1447,0
TIM,Timurids,1447,9
TUN,Tunis,1447,0
VEN,Venice,1447,0
VIJ,Vijayanagar,1447,0
WBG,Wurzburg,1447,0
ADA,Adal,1448,0
ARA,Aragon,1448,15
ASK,Ashikaga,1448,0
HAB,Austria,1448,0
AYU,Ayutthaya,1448,0
BOH,Bohemia,1448,0
BUR,Burgundy,1448,0
CAS,Castile,1448,12
DAN,Denmark,1448,0
ENG,England,1448,13
ETH,Ethiopia,1448,0
LAN,Florence,1448,0
FRA,France,1448,16
GEN,Genoa,1448,0
HOL,Holland,1448,0
HUN,Hungary,1448,0
LIT,Lithuania,1448,0
HSA,Lübeck,1448,0
MAM,Mamluks,1448,18
MNG,Ming,1448,24
MCM,Munster,1448,0
MOS,Muscovy,1448,0
NOR,Norway,1448,0
OIR,Oirat,1448,0
TUR,Ottomans,1448,16
POL,Poland,1448,4
POR,Portugal,1448,0
QAR,Qara Qoyunlu,1448,0
SAV,Savoy,1448,0
SAX,Saxony,1448,0
STE,Stettin,1448,0
SWE,Sweden,1448,0
SYR,Syria,1448,0
TEU,Teutonic Order,1448,0
PAL,The Palatinate,1448,0
PAP,The Papal State,1448,0
TIM,Timurids,1448,14
TUN,Tunis,1448,0
VEN,Venice,1448,0
VIJ,Vijayanagar,1448,1
WBG,Wurzburg,1448,0
ADA,Adal,1449,0
ARA,Aragon,1449,19
ASK,Ashikaga,1449,0
HAB,Austria,1449,0
AYU,Ayutthaya,1449,0
BOH,Bohemia,1449,0
BUR,Burgundy,1449,0
CAS,Castile,1449,15
DAN,Denmark,1449,0
ENG,England,1449,14
ETH,Ethiopia,1449,0
LAN,Florence,1449,0
FRA,France,1449,22
GEN,Genoa,1449,0
HOL,Holland,1449,0
HUN,Hungary,1449,0
LIT,Lithuania,1449,0
HSA,Lübeck,1449,0
MAM,Mamluks,1449,24
MNG,Ming,1449,32
MCM,Munster,1449,0
MOS,Muscovy,1449,0
NOR,Norway,1449,0
OIR,Oirat,1449,0
TUR,Ottomans,1449,23
POL,Poland,1449,8
POR,Portugal,1449,0
QAR,Qara Qoyunlu,1449,0
SAV,Savoy,1449,0
SAX,Saxony,1449,0
STE,Stettin,1449,0
SWE,Sweden,1449,0
SYR,Syria,1449,0
TEU,Teutonic Order,1449,0
PAL,The Palatinate,1449,0
PAP,The Papal State,1449,0
TIM,Timurids,1449,18
TUN,Tunis,1449,0
VEN,Venice,1449,0
VIJ,Vijayanagar,1449,2
WBG,Wurzburg,1449,0
ADA,Adal,1450,0
ARA,Aragon,1450,24
ASK,Ashikaga,1450,0
HAB,Austria,1450,0
AYU,Ayutthaya,1450,0
BOH,Bohemia,1450,0
BUR,Burgundy,1450,0
CAS,Castile,1450,18
DAN,Denmark,1450,0
ENG,England,1450,14
ETH,Ethiopia,1450,0
LAN,Florence,1450,0
FRA,France,1450,27
GEN,Genoa,1450,0
HOL,Holland,1450,0
HUN,Hungary,1450,0
LIT,Lithuania,1450,0
HSA,Lübeck,1450,0
MAM,Mamluks,1450,28
MNG,Ming,1450,40
MCM,Munster,1450,0
MOS,Muscovy,1450,1
NOR,Norway,1450,0
OIR,Oirat,1450,0
TUR,Ottomans,1450,30
POL,Poland,1450,11
POR,Portugal,1450,0
QAR,Qara Qoyunlu,1450,0
SAV,Savoy,1450,0
SAX,Saxony,1450,0
STE,Stettin,1450,0
SWE,Sweden,1450,0
SYR,Syria,1450,0
TEU,Teutonic Order,1450,0
PAL,The Palatinate,1450,0
PAP,The Papal State,1450,0
TIM,Timurids,1450,22
TUN,Tunis,1450,0
VEN,Venice,1450,0
VIJ,Vijayanagar,1450,7
WBG,Wurzburg,1450,0
ADA,Adal,1451,0
ARA,Aragon,1451,28
ASK,Ashikaga,1451,0
HAB,Austria,1451,0
AYU,Ayutthaya,1451,0
BOH,Bohemia,1451,0
BUR,Burgundy,1451,0
CAS,Castile,1451,21
DAN,Denmark,1451,0
ENG,England,1451,14
ETH,Ethiopia,1451,0
LAN,Florence,1451,0
FRA,France,1451,32
GEN,Genoa,1451,0
HOL,Holland,1451,0
HUN,Hungary,1451,0
LIT,Lithuania,1451,0
HSA,Lübeck,1451,0
MAM,Mamluks,1451,33
MNG,Ming,1451,47
MCM,Munster,1451,0
MOS,Muscovy,1451,4
NOR,Norway,1451,0
OIR,Oirat,1451,0
TUR,Ottomans,1451,36
POL,Poland,1451,15
POR,Portugal,1451,0
QAR,Qara Qoyunlu,1451,0
SAV,Savoy,1451,0
SAX,Saxony,1451,0
STE,Stettin,1451,0
SWE,Sweden,1451,0
SYR,Syria,1451,0
TEU,Teutonic Order,1451,0
PAL,The Palatinate,1451,0
PAP,The Papal State,1451,0
TIM,Timurids,1451,27
TUN,Tunis,1451,0
VEN,Venice,1451,0
VIJ,Vijayanagar,1451,10
WBG,Wurzburg,1451,0
ADA,Adal,1452,0
ARA,Aragon,1452,30
ASK,Ashikaga,1452,0
HAB,Austria,1452,0
AYU,Ayutthaya,1452,0
BOH,Bohemia,1452,0
BUR,Burgundy,1452,0
CAS,Castile,1452,25
DAN,Denmark,1452,0
ENG,England,1452,15
ETH,Ethiopia,1452,0
LAN,Florence,1452,0
FRA,France,1452,40
GEN,Genoa,1452,0
HOL,Holland,1452,0
HUN,Hungary,1452,0
LIT,Lithuania,1452,0
HSA,Lübeck,1452,0
MAM,Mamluks,1452,38
MNG,Ming,1452,54
MCM,Munster,1452,0
MOS,Muscovy,1452,6
NOR,Norway,1452,0
OIR,Oirat,1452,0
TUR,Ottomans,1452,42
POL,Poland,1452,18
POR,Portugal,1452,0
QAR,Qara Qoyunlu,1452,0
SAV,Savoy,1452,0
SAX,Saxony,1452,0
STE,Stettin,1452,0
SWE,Sweden,1452,0
SYR,Syria,1452,0
TEU,Teutonic Order,1452,0
PAL,The Palatinate,1452,0
PAP,The Papal State,1452,0
TIM,Timurids,1452,30
TUN,Tunis,1452,0
VEN,Venice,1452,0
VIJ,Vijayanagar,1452,14
WBG,Wurzburg,1452,0
ADA,Adal,1453,0
ARA,Aragon,1453,30
ASK,Ashikaga,1453,0
HAB,Austria,1453,0
AYU,Ayutthaya,1453,0
BOH,Bohemia,1453,0
BUR,Burgundy,1453,0
CAS,Castile,1453,29
DAN,Denmark,1453,0
ENG,England,1453,16
ETH,Ethiopia,1453,0
LAN,Florence,1453,0
FRA,France,1453,49
GEN,Genoa,1453,0
HOL,Holland,1453,0
HUN,Hungary,1453,0
LIT,Lithuania,1453,0
HSA,Lübeck,1453,0
MAM,Mamluks,1453,44
MNG,Ming,1453,61
MCM,Munster,1453,0
MOS,Muscovy,1453,9
NOR,Norway,1453,0
OIR,Oirat,1453,0
TUR,Ottomans,1453,48
POL,Poland,1453,23
POR,Portugal,1453,0
QAR,Qara Qoyunlu,1453,0
SAV,Savoy,1453,0
SAX,Saxony,1453,0
STE,Stettin,1453,0
SWE,Sweden,1453,0
SYR,Syria,1453,0
TEU,Teutonic Order,1453,0
PAL,The Palatinate,1453,0
PAP,The Papal State,1453,0
TIM,Timurids,1453,33
TUN,Tunis,1453,0
VEN,Venice,1453,0
VIJ,Vijayanagar,1453,19
WBG,Wurzburg,1453,0
ADA,Adal,1454,0
ARA,Aragon,1454,30
ASK,Ashikaga,1454,0
HAB,Austria,1454,0
AYU,Ayutthaya,1454,0
BOH,Bohemia,1454,0
BUR,Burgundy,1454,0
CAS,Castile,1454,32
DAN,Denmark,1454,0
ENG,England,1454,16
ETH,Ethiopia,1454,0
LAN,Florence,1454,0
FRA,France,1454,58
GEN,Genoa,1454,1
HOL,Holland,1454,0
HUN,Hungary,1454,0
LIT,Lithuania,1454,0
HSA,Lübeck,1454,0
MAM,Mamluks,1454,49
MNG,Ming,1454,68
MCM,Munster,1454,0
MOS,Muscovy,1454,13
NOR,Norway,1454,0
OIR,Oirat,1454,0
TUR,Ottomans,1454,55
POL,Poland,1454,28
POR,Portugal,1454,0
QAR,Qara Qoyunlu,1454,0
SAV,Savoy,1454,0
SAX,Saxony,1454,0
STE,Stettin,1454,0
SWE,Sweden,1454,0
SYR,Syria,1454,0
TEU,Teutonic Order,1454,0
PAL,The Palatinate,1454,0
PAP,The Papal State,1454,0
TIM,Timurids,1454,38
TUN,Tunis,1454,0
VEN,Venice,1454,0
VIJ,Vijayanagar,1454,22
WBG,Wurzburg,1454,0
ADA,Adal,1455,0
ARA,Aragon,1455,30
ASK,Ashikaga,1455,0
HAB,Austria,1455,0
AYU,Ayutthaya,1455,0
BOH,Bohemia,1455,0
BUR,Burgundy,1455,0
CAS,Castile,1455,36
DAN,Denmark,1455,0
ENG,England,1455,17
ETH,Ethiopia,1455,0
LAN,Florence,1455,0
FRA,France,1455,67
GEN,Genoa,1455,1
HOL,Holland,1455,0
HUN,Hungary,1455,0
LIT,Lithuania,1455,0
HSA,Lübeck,1455,0
MAM,Mamluks,1455,55
MNG,Ming,1455,76
MCM,Munster,1455,0
MOS,Muscovy,1455,17
NOR,Norway,1455,0
OIR,Oirat,1455,0
TUR,Ottomans,1455,62
POL,Poland,1455,33
POR,Portugal,1455,0
QAR,Qara Qoyunlu,1455,0
SAV,Savoy,1455,0
SAX,Saxony,1455,0
STE,Stettin,1455,0
SWE,Sweden,1455,0
SYR,Syria,1455,0
TEU,Teutonic Order,1455,0
PAL,The Palatinate,1455,0
PAP,The Papal State,1455,0
TIM,Timurids,1455,42
TUN,Tunis,1455,0
VEN,Venice,1455,0
VIJ,Vijayanagar,1455,26
WBG,Wurzburg,1455,0
ADA,Adal,1456,0
ARA,Aragon,1456,30
ASK,Ashikaga,1456,0
HAB,Austria,1456,0
AYU,Ayutthaya,1456,0
BOH,Bohemia,1456,0
BUR,Burgundy,1456,0
CAS,Castile,1456,40
DAN,Denmark,1456,0
ENG,England,1456,17
ETH,Ethiopia,1456,0
LAN,Florence,1456,0
FRA,France,1456,76
GEN,Genoa,1456,1
HOL,Holland,1456,0
HUN,Hungary,1456,0
LIT,Lithuania,1456,0
HSA,Lübeck,1456,0
MAM,Mamluks,1456,59
MNG,Ming,1456,84
MCM,Munster,1456,0
MOS,Muscovy,1456,20
NOR,Norway,1456,0
OIR,Oirat,1456,0
TUR,Ottomans,1456,68
POL,Poland,1456,37
POR,Portugal,1456,0
QAR,Qara Qoyunlu,1456,0
SAV,Savoy,1456,0
SAX,Saxony,1456,0
STE,Stettin,1456,0
SWE,Sweden,1456,0
SYR,Syria,1456,0
TEU,Teutonic Order,1456,0
PAL,The Palatinate,1456,0
PAP,The Papal State,1456,0
TIM,Timurids,1456,43
TUN,Tunis,1456,0
VEN,Venice,1456,4
VIJ,Vijayanagar,1456,30
WBG,Wurzburg,1456,0
ADA,Adal,1457,0
ARA,Aragon,1457,30
ASK,Ashikaga,1457,0
HAB,Austria,1457,0
AYU,Ayutthaya,1457,0
BOH,Bohemia,1457,0
BUR,Burgundy,1457,0
CAS,Castile,1457,44
DAN,Denmark,1457,0
ENG,England,1457,18
ETH,Ethiopia,1457,0
LAN,Florence,1457,0
FRA,France,1457,83
GEN,Genoa,1457,1
HOL,Holland,1457,0
HUN,Hungary,1457,0
LIT,Lithuania,1457,0
HSA,Lübeck,1457,0
MAM,Mamluks,1457,65
MNG,Ming,1457,92
MCM,Munster,1457,0
MOS,Muscovy,1457,24
NOR,Norway,1457,0
OIR,Oirat,1457,0
TUR,Ottomans,1457,76
POL,Poland,1457,42
POR,Portugal,1457,0
QAR,Qara Qoyunlu,1457,0
SAV,Savoy,1457,0
SAX,Saxony,1457,0
STE,Stettin,1457,0
SWE,Sweden,1457,0
SYR,Syria,1457,0
TEU,Teutonic Order,1457,0
PAL,The Palatinate,1457,0
PAP,The Papal State,1457,0
TIM,Timurids,1457,43
TUN,Tunis,1457,0
VEN,Venice,1457,9
VIJ,Vijayanagar,1457,34
WBG,Wurzburg,1457,0
ADA,Adal,1458,0
ARA,Aragon,1458,30
ASK,Ashikaga,1458,0
HAB,Austria,1458,0
AYU,Ayutthaya,1458,0
BOH,Bohemia,1458,0
BUR,Burgundy,1458,0
CAS,Castile,1458,48
DAN,Denmark,1458,0
ENG,England,1458,18
ETH,Ethiopia,1458,0
LAN,Florence,1458,0
FRA,France,1458,91
GEN,Genoa,1458,1
HOL,Holland,1458,0
HUN,Hungary,1458,0
LIT,Lithuania,1458,0
HSA,Lübeck,1458,0
MAM,Mamluks,1458,71
MNG,Ming,1458,101
MCM,Munster,1458,0
MOS,Muscovy,1458,28
NOR,Norway,1458,0
OIR,Oirat,1458,0
TUR,Ottomans,1458,84
POL,Poland,1458,46
POR,Portugal,1458,0
QAR,Qara Qoyunlu,1458,0
SAV,Savoy,1458,0
SAX,Saxony,1458,0
STE,Stettin,1458,0
SWE,Sweden,1458,0
SYR,Syria,1458,0
TEU,Teutonic Order,1458,0
PAL,The Palatinate,1458,0
PAP,The Papal State,1458,0
TIM,Timurids,1458,43
TUN,Tunis,1458,0
VEN,Venice,1458,13
VIJ,Vijayanagar,1458,39
WBG,Wurzburg,1458,0
ADA,Adal,1459,0
ARA,Aragon,1459,30
ASK,Ashikaga,1459,0
HAB,Austria,1459,0
AYU,Ayutthaya,1459,0
BOH,Bohemia,1459,0
BUR,Burgundy,1459,0
CAS,Castile,1459,51
DAN,Denmark,1459,0
ENG,England,1459,18
ETH,Ethiopia,1459,0
LAN,Florence,1459,0
FRA,France,1459,99
GEN,Genoa,1459,1
HOL,Holland,1459,0
HUN,Hungary,1459,0
LIT,Lithuania,1459,0
HSA,Lübeck,1459,0
MAM,Mamluks,1459,77
MNG,Ming,1459,109
MCM,Munster,1459,0
MOS,Muscovy,1459,32
NOR,Norway,1459,0
OIR,Oirat,1459,0
TUR,Ottomans,1459,91
POL,Poland,1459,51
POR,Portugal,1459,0
QAR,Qara Qoyunlu,1459,0
SAV,Savoy,1459,0
SAX,Saxony,1459,0
STE,Stettin,1459,0
SWE,Sweden,1459,0
SYR,Syria,1459,0
TEU,Teutonic Order,1459,0
PAL,The Palatinate,1459,0
PAP,The Papal State,1459,0
TIM,Timurids,1459,43
TUN,Tunis,1459,0
VEN,Venice,1459,19
VIJ,Vijayanagar,1459,44
WBG,Wurzburg,1459,0
ADA,Adal,1460,0
ARA,Aragon,1460,30
ASK,Ashikaga,1460,0
HAB,Austria,1460,0
AYU,Ayutthaya,1460,0
BOH,Bohemia,1460,0
BUR,Burgundy,1460,0
CAS,Castile,1460,54
DAN,Denmark,1460,0
ENG,England,1460,18
ETH,Ethiopia,1460,0
LAN,Florence,1460,0
FRA,France,1460,108
GEN,Genoa,1460,1
HOL,Holland,1460,0
HUN,Hungary,1460,0
LIT,Lithuania,1460,0
HSA,Lübeck,1460,0
MAM,Mamluks,1460,82
MNG,Ming,1460,119
MOS,Muscovy,1460,35
NOR,Norway,1460,0
OIR,Oirat,1460,0
TUR,Ottomans,1460,97
POL,Poland,1460,56
POR,Portugal,1460,0
QAR,Qara Qoyunlu,1460,0
SAV,Savoy,1460,0
SAX,Saxony,1460,0
STE,Stettin,1460,0
SWE,Sweden,1460,0
SYR,Syria,1460,0
TEU,Teutonic Order,1460,0
PAL,The Palatinate,1460,0
PAP,The Papal State,1460,0
TIM,Timurids,1460,43
TUN,Tunis,1460,0
VEN,Venice,1460,26
VIJ,Vijayanagar,1460,49
WBG,Wurzburg,1460,0
ADA,Adal,1461,0
ARA,Aragon,1461,31
ASK,Ashikaga,1461,0
HAB,Austria,1461,0
AYU,Ayutthaya,1461,0
BOH,Bohemia,1461,0
BUR,Burgundy,1461,0
CAS,Castile,1461,55
DAN,Denmark,1461,0
ENG,England,1461,18
ETH,Ethiopia,1461,0
LAN,Florence,1461,0
FRA,France,1461,117
GEN,Genoa,1461,2
HOL,Holland,1461,0
HUN,Hungary,1461,0
LIT,Lithuania,1461,0
HSA,Lübeck,1461,0
MAM,Mamluks,1461,89
MNG,Ming,1461,129
MOS,Muscovy,1461,40
NOR,Norway,1461,0
OIR,Oirat,1461,0
TUR,Ottomans,1461,104
POL,Poland,1461,60
POR,Portugal,1461,0
QAR,Qara Qoyunlu,1461,0
SAV,Savoy,1461,0
SAX,Saxony,1461,0
STE,Stettin,1461,0
SWE,Sweden,1461,0
SYR,Syria,1461,0
TEU,Teutonic Order,1461,0
PAL,The Palatinate,1461,0
PAP,The Papal State,1461,0
TIM,Timurids,1461,43
TUN,Tunis,1461,0
VEN,Venice,1461,32
VIJ,Vijayanagar,1461,54
WBG,Wurzburg,1461,0
ADA,Adal,1462,0
ARA,Aragon,1462,31
ASK,Ashikaga,1462,0
HAB,Austria,1462,0
AYU,Ayutthaya,1462,0
BOH,Bohemia,1462,0
BUR,Burgundy,1462,0
CAS,Castile,1462,56
DAN,Denmark,1462,0
ENG,England,1462,18
ETH,Ethiopia,1462,0
LAN,Florence,1462,0
FRA,France,1462,125
GEN,Genoa,1462,2
HOL,Holland,1462,0
HUN,Hungary,1462,0
LIT,Lithuania,1462,0
HSA,Lübeck,1462,0
MAM,Mamluks,1462,95
MNG,Ming,1462,138
MOS,Muscovy,1462,44
NOR,Norway,1462,0
OIR,Oirat,1462,0
TUR,Ottomans,1462,113
POL,Poland,1462,64
POR,Portugal,1462,0
QAR,Qara Qoyunlu,1462,1
SAV,Savoy,1462,0
SAX,Saxony,1462,0
STE,Stettin,1462,0
SWE,Sweden,1462,0
SYR,Syria,1462,0
TEU,Teutonic Order,1462,0
PAL,The Palatinate,1462,0
PAP,The Papal State,1462,0
TIM,Timurids,1462,43
TUN,Tunis,1462,0
VEN,Venice,1462,37
VIJ,Vijayanagar,1462,59
WBG,Wurzburg,1462,0
ADA,Adal,1463,0
ARA,Aragon,1463,31
ASK,Ashikaga,1463,0
HAB,Austria,1463,0
AYU,Ayutthaya,1463,0
BOH,Bohemia,1463,0
BUR,Burgundy,1463,0
CAS,Castile,1463,56
DAN,Denmark,1463,0
ENG,England,1463,18
ETH,Ethiopia,1463,0
LAN,Florence,1463,0
FRA,France,1463,134
GEN,Genoa,1463,3
HOL,Holland,1463,0
HUN,Hungary,1463,0
LIT,Lithuania,1463,0
HSA,Lübeck,1463,0
MAM,Mamluks,1463,101
MNG,Ming,1463,147
MOS,Muscovy,1463,49
NOR,Norway,1463,0
OIR,Oirat,1463,0
TUR,Ottomans,1463,122
POL,Poland,1463,70
POR,Portugal,1463,0
